Country Name,Country Code,Series Name,Series Code,2021 [YR2021]
Afghanistan,AFG,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: somewhat worried, male (% age 15+)",fin45.1.2.d.2,38.43
Afghanistan,AFG,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: somewhat worried, income, richest 60% (% ages 15+)",fin45.1.2.d.8,39.37
Afghanistan,AFG,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: somewhat worried, income, poorest 40% (% ages 15+)",fin45.1.2.d.7,26.87
Afghanistan,AFG,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: somewhat worried, in labor force (% age 15+)",fin45.1.2.d.12,34.03
Afghanistan,AFG,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: somewhat worried, female (% age 15+)",fin45.1.2.d.1,30.46
Afghanistan,AFG,Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: somewhat worried (% age 15+),fin45.1.2.d,34.37
Afghanistan,AFG,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: not worried, older (% age 25+)",fin45.1.3.d.4,9.58
Albania,ALB,Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: not worried (% age 15+),fin45.1.3.d,17.71
Albania,ALB,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: not worried, income, richest 60% (% ages 15+)",fin45.1.3.d.8,20.83
Albania,ALB,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: not worried, income, poorest 40% (% ages 15+)",fin45.1.3.d.7,13.02
Albania,ALB,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: not worried, male (% age 15+)",fin45.1.3.d.2,19.18
Albania,ALB,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: not worried, female (% age 15+)",fin45.1.3.d.1,16.31
Albania,ALB,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: not worried, out of labor force (% age 15+)",fin45.1.3.d.11,19.17
Albania,ALB,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: not worried, in labor force (% age 15+)",fin45.1.3.d.12,16.37
Albania,ALB,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: not worried, primary education or less (% ages 15+)",fin45.1.3.d.5,17.43
Albania,ALB,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: not worried, rural (% age 15+)",fin45.1.3.d.9,18.58
Albania,ALB,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: not worried, secondary education or more (% ages 15+)",fin45.1.3.d.6,18.07
Albania,ALB,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: not worried, urban (% age 15+)",fin45.1.3.d.10,17.24
Albania,ALB,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: not worried, young (% ages 15-24)",fin45.1.3.d.3,27.1
Albania,ALB,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: very worried, young (% ages 15-24)",fin45.1.1.d.3,31.53
Albania,ALB,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: very worried, urban (% age 15+)",fin45.1.1.d.10,44.34
Albania,ALB,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: very worried, secondary education or more (% ages 15+)",fin45.1.1.d.6,40.48
Albania,ALB,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: very worried, rural (% age 15+)",fin45.1.1.d.9,47.17
Albania,ALB,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: very worried, primary education or less (% ages 15+)",fin45.1.1.d.5,49.21
Albania,ALB,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: very worried, out of labor force (% age 15+)",fin45.1.1.d.11,46.58
Albania,ALB,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: very worried, older (% age 25+)",fin45.1.1.d.4,49.34
Albania,ALB,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: very worried, male (% age 15+)",fin45.1.1.d.2,40.92
Albania,ALB,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: very worried, income, richest 60% (% ages 15+)",fin45.1.1.d.8,37.67
Albania,ALB,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: very worried, income, poorest 40% (% ages 15+)",fin45.1.1.d.7,56.88
Albania,ALB,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: very worried, in labor force (% age 15+)",fin45.1.1.d.12,44.2
Albania,ALB,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: very worried, female (% age 15+)",fin45.1.1.d.1,49.54
Albania,ALB,Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: very worried (% age 15+),fin45.1.1.d,45.34
Albania,ALB,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: somewhat worried, young (% ages 15-24)",fin45.1.2.d.3,41.37
Albania,ALB,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: somewhat worried, urban (% age 15+)",fin45.1.2.d.10,38.25
Albania,ALB,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: somewhat worried, secondary education or more (% ages 15+)",fin45.1.2.d.6,41.24
Albania,ALB,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: somewhat worried, rural (% age 15+)",fin45.1.2.d.9,34.18
Albania,ALB,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: somewhat worried, primary education or less (% ages 15+)",fin45.1.2.d.5,33.29
Albania,ALB,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: somewhat worried, out of labor force (% age 15+)",fin45.1.2.d.11,33.97
Albania,ALB,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: somewhat worried, older (% age 25+)",fin45.1.2.d.4,35.51
Albania,ALB,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: somewhat worried, male (% age 15+)",fin45.1.2.d.2,39.71
Albania,ALB,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: somewhat worried, income, richest 60% (% ages 15+)",fin45.1.2.d.8,41.27
Albania,ALB,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: somewhat worried, income, poorest 40% (% ages 15+)",fin45.1.2.d.7,30.11
Albania,ALB,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: somewhat worried, in labor force (% age 15+)",fin45.1.2.d.12,39.43
Albania,ALB,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: somewhat worried, female (% age 15+)",fin45.1.2.d.1,34.06
Albania,ALB,Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: somewhat worried (% age 15+),fin45.1.2.d,36.82
Albania,ALB,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: not worried, older (% age 25+)",fin45.1.3.d.4,14.97
Algeria,DZA,Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: not worried (% age 15+),fin45.1.3.d,29.94
Algeria,DZA,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: not worried, income, richest 60% (% ages 15+)",fin45.1.3.d.8,31.92
Algeria,DZA,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: not worried, income, poorest 40% (% ages 15+)",fin45.1.3.d.7,26.96
Algeria,DZA,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: not worried, male (% age 15+)",fin45.1.3.d.2,28.4
Algeria,DZA,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: not worried, female (% age 15+)",fin45.1.3.d.1,31.51
Algeria,DZA,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: not worried, out of labor force (% age 15+)",fin45.1.3.d.11,35.88
Algeria,DZA,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: not worried, in labor force (% age 15+)",fin45.1.3.d.12,23.01
Algeria,DZA,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: not worried, primary education or less (% ages 15+)",fin45.1.3.d.5,30.75
Algeria,DZA,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: not worried, rural (% age 15+)",fin45.1.3.d.9,..
Algeria,DZA,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: not worried, secondary education or more (% ages 15+)",fin45.1.3.d.6,29.48
Algeria,DZA,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: not worried, urban (% age 15+)",fin45.1.3.d.10,..
Algeria,DZA,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: not worried, young (% ages 15-24)",fin45.1.3.d.3,39.26
Algeria,DZA,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: very worried, young (% ages 15-24)",fin45.1.1.d.3,16.15
Algeria,DZA,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: very worried, urban (% age 15+)",fin45.1.1.d.10,..
Algeria,DZA,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: very worried, secondary education or more (% ages 15+)",fin45.1.1.d.6,25.92
Algeria,DZA,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: very worried, rural (% age 15+)",fin45.1.1.d.9,..
Algeria,DZA,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: very worried, primary education or less (% ages 15+)",fin45.1.1.d.5,26.04
Algeria,DZA,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: very worried, out of labor force (% age 15+)",fin45.1.1.d.11,19.98
Algeria,DZA,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: very worried, older (% age 25+)",fin45.1.1.d.4,30.15
Algeria,DZA,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: very worried, male (% age 15+)",fin45.1.1.d.2,26.79
Algeria,DZA,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: very worried, income, richest 60% (% ages 15+)",fin45.1.1.d.8,25.04
Algeria,DZA,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: very worried, income, poorest 40% (% ages 15+)",fin45.1.1.d.7,27.15
Algeria,DZA,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: very worried, in labor force (% age 15+)",fin45.1.1.d.12,32.77
Algeria,DZA,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: very worried, female (% age 15+)",fin45.1.1.d.1,24.96
Algeria,DZA,Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: very worried (% age 15+),fin45.1.1.d,25.88
Algeria,DZA,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: somewhat worried, young (% ages 15-24)",fin45.1.2.d.3,39.66
Algeria,DZA,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: somewhat worried, urban (% age 15+)",fin45.1.2.d.10,..
Algeria,DZA,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: somewhat worried, secondary education or more (% ages 15+)",fin45.1.2.d.6,42.01
Algeria,DZA,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: somewhat worried, rural (% age 15+)",fin45.1.2.d.9,..
Algeria,DZA,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: somewhat worried, primary education or less (% ages 15+)",fin45.1.2.d.5,41.04
Algeria,DZA,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: somewhat worried, out of labor force (% age 15+)",fin45.1.2.d.11,40.63
Algeria,DZA,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: somewhat worried, older (% age 25+)",fin45.1.2.d.4,42.58
Algeria,DZA,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: somewhat worried, male (% age 15+)",fin45.1.2.d.2,43.03
Algeria,DZA,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: somewhat worried, income, richest 60% (% ages 15+)",fin45.1.2.d.8,40.52
Algeria,DZA,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: somewhat worried, income, poorest 40% (% ages 15+)",fin45.1.2.d.7,43.18
Algeria,DZA,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: somewhat worried, in labor force (% age 15+)",fin45.1.2.d.12,42.69
Algeria,DZA,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: somewhat worried, female (% age 15+)",fin45.1.2.d.1,40.11
Algeria,DZA,Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: somewhat worried (% age 15+),fin45.1.2.d,41.58
Algeria,DZA,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: not worried, older (% age 25+)",fin45.1.3.d.4,25.67
Angola,AGO,Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: not worried (% age 15+),fin45.1.3.d,..
Angola,AGO,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: not worried, income, richest 60% (% ages 15+)",fin45.1.3.d.8,..
Angola,AGO,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: not worried, income, poorest 40% (% ages 15+)",fin45.1.3.d.7,..
Angola,AGO,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: not worried, male (% age 15+)",fin45.1.3.d.2,..
Angola,AGO,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: not worried, female (% age 15+)",fin45.1.3.d.1,..
Angola,AGO,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: not worried, out of labor force (% age 15+)",fin45.1.3.d.11,..
Angola,AGO,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: not worried, in labor force (% age 15+)",fin45.1.3.d.12,..
Angola,AGO,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: not worried, primary education or less (% ages 15+)",fin45.1.3.d.5,..
Angola,AGO,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: not worried, rural (% age 15+)",fin45.1.3.d.9,..
Angola,AGO,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: not worried, secondary education or more (% ages 15+)",fin45.1.3.d.6,..
Angola,AGO,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: not worried, urban (% age 15+)",fin45.1.3.d.10,..
Angola,AGO,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: not worried, young (% ages 15-24)",fin45.1.3.d.3,..
Angola,AGO,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: very worried, young (% ages 15-24)",fin45.1.1.d.3,..
Angola,AGO,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: very worried, urban (% age 15+)",fin45.1.1.d.10,..
Angola,AGO,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: very worried, secondary education or more (% ages 15+)",fin45.1.1.d.6,..
Angola,AGO,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: very worried, rural (% age 15+)",fin45.1.1.d.9,..
Angola,AGO,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: very worried, primary education or less (% ages 15+)",fin45.1.1.d.5,..
Angola,AGO,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: very worried, out of labor force (% age 15+)",fin45.1.1.d.11,..
Angola,AGO,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: very worried, older (% age 25+)",fin45.1.1.d.4,..
Angola,AGO,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: very worried, male (% age 15+)",fin45.1.1.d.2,..
Angola,AGO,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: very worried, income, richest 60% (% ages 15+)",fin45.1.1.d.8,..
Angola,AGO,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: very worried, income, poorest 40% (% ages 15+)",fin45.1.1.d.7,..
Angola,AGO,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: very worried, in labor force (% age 15+)",fin45.1.1.d.12,..
Angola,AGO,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: very worried, female (% age 15+)",fin45.1.1.d.1,..
Angola,AGO,Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: very worried (% age 15+),fin45.1.1.d,..
Angola,AGO,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: somewhat worried, young (% ages 15-24)",fin45.1.2.d.3,..
Angola,AGO,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: somewhat worried, urban (% age 15+)",fin45.1.2.d.10,..
Angola,AGO,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: somewhat worried, secondary education or more (% ages 15+)",fin45.1.2.d.6,..
Angola,AGO,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: somewhat worried, rural (% age 15+)",fin45.1.2.d.9,..
Angola,AGO,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: somewhat worried, primary education or less (% ages 15+)",fin45.1.2.d.5,..
Angola,AGO,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: somewhat worried, out of labor force (% age 15+)",fin45.1.2.d.11,..
Angola,AGO,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: somewhat worried, older (% age 25+)",fin45.1.2.d.4,..
Angola,AGO,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: somewhat worried, male (% age 15+)",fin45.1.2.d.2,..
Angola,AGO,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: somewhat worried, income, richest 60% (% ages 15+)",fin45.1.2.d.8,..
Angola,AGO,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: somewhat worried, income, poorest 40% (% ages 15+)",fin45.1.2.d.7,..
Angola,AGO,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: somewhat worried, in labor force (% age 15+)",fin45.1.2.d.12,..
Angola,AGO,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: somewhat worried, female (% age 15+)",fin45.1.2.d.1,..
Angola,AGO,Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: somewhat worried (% age 15+),fin45.1.2.d,..
Angola,AGO,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: not worried, older (% age 25+)",fin45.1.3.d.4,..
Argentina,ARG,Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: not worried (% age 15+),fin45.1.3.d,24.85
Argentina,ARG,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: not worried, income, richest 60% (% ages 15+)",fin45.1.3.d.8,30.11
Argentina,ARG,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: not worried, income, poorest 40% (% ages 15+)",fin45.1.3.d.7,16.82
Argentina,ARG,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: not worried, male (% age 15+)",fin45.1.3.d.2,24.51
Argentina,ARG,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: not worried, female (% age 15+)",fin45.1.3.d.1,25.2
Argentina,ARG,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: not worried, out of labor force (% age 15+)",fin45.1.3.d.11,34.61
Argentina,ARG,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: not worried, in labor force (% age 15+)",fin45.1.3.d.12,21.05
Argentina,ARG,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: not worried, primary education or less (% ages 15+)",fin45.1.3.d.5,28.88
Argentina,ARG,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: not worried, rural (% age 15+)",fin45.1.3.d.9,..
Argentina,ARG,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: not worried, secondary education or more (% ages 15+)",fin45.1.3.d.6,22.62
Argentina,ARG,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: not worried, urban (% age 15+)",fin45.1.3.d.10,..
Argentina,ARG,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: not worried, young (% ages 15-24)",fin45.1.3.d.3,15.29
Argentina,ARG,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: very worried, young (% ages 15-24)",fin45.1.1.d.3,41.55
Argentina,ARG,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: very worried, urban (% age 15+)",fin45.1.1.d.10,..
Argentina,ARG,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: very worried, secondary education or more (% ages 15+)",fin45.1.1.d.6,35.1
Argentina,ARG,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: very worried, rural (% age 15+)",fin45.1.1.d.9,..
Argentina,ARG,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: very worried, primary education or less (% ages 15+)",fin45.1.1.d.5,48.54
Argentina,ARG,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: very worried, out of labor force (% age 15+)",fin45.1.1.d.11,39.99
Argentina,ARG,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: very worried, older (% age 25+)",fin45.1.1.d.4,39.56
Argentina,ARG,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: very worried, male (% age 15+)",fin45.1.1.d.2,33.56
Argentina,ARG,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: very worried, income, richest 60% (% ages 15+)",fin45.1.1.d.8,28.67
Argentina,ARG,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: very worried, income, poorest 40% (% ages 15+)",fin45.1.1.d.7,57.02
Argentina,ARG,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: very worried, in labor force (% age 15+)",fin45.1.1.d.12,39.86
Argentina,ARG,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: very worried, female (% age 15+)",fin45.1.1.d.1,46.43
Argentina,ARG,Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: very worried (% age 15+),fin45.1.1.d,39.9
Argentina,ARG,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: somewhat worried, young (% ages 15-24)",fin45.1.2.d.3,43.16
Argentina,ARG,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: somewhat worried, urban (% age 15+)",fin45.1.2.d.10,..
Argentina,ARG,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: somewhat worried, secondary education or more (% ages 15+)",fin45.1.2.d.6,42.14
Argentina,ARG,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: somewhat worried, rural (% age 15+)",fin45.1.2.d.9,..
Argentina,ARG,"Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19: somewhat worried, primary education or less (% ages 15+)",fin45.1.2.d.5,20.83
